Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
16,van Riessen,Laurine,NED,"1.16,15",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
17,van Beek,Lotte,NED,"1.16,19",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
18,Złotkowska,Luiza,POL,"1.16,22",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
19,Blondin,Ivanie,CAN,"1.16,24",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
20,Fatkulina,Olga,RUS,"1.16,28",2014-12-13,Heerenveen (NED),ISU World Cup,f,2014,1000
21,Boer,Margot,NED,"1.16,33",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
22,Lee,Sang-Hwa,KOR,"1.16,40",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
23,Kamminga,Manon,NED,"1.16,66",2014-10-11,Inzell (GER),International Season Opening,f,2014,1000
24,de Neeling,Sanneke,NED,"1.16,68",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
25,de Vries,Linda,NED,"1.16,74",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
26,Ianculescu,Alexandra,CAN,"1.16,75",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
27,van Hemert,Roxanne,NED,"1.16,84",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
28,Kikuchi,Ayaka,JPN,"1.16,87",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
29,Takagi,Nana,JPN,"1.16,92",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
29,Hanly,Kate,CAN,"1.16,92",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
31,Park,Seung-Hi,KOR,"1.16,93",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
32,Smit,Janine,NED,"1.16,94",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
33,Skokova,Yuliya,RUS,"1.16,96",2014-10-30,Moscow,Moscow Open Cup / World Cup Qualifier,f,2014,1000
34,Gunther,Kelly,USA,"1.17,02",2015-03-07,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1000
35,Todd,Sugar,USA,"1.17,13",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
36,Oenema,Thijsje,NED,"1.17,16",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
37,Gerritsen,Annette,NED,"1.17,18",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
38,Gregg,Jessica,CAN,"1.17,20",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
39,Carruthers,Heather,CAN,"1.17,24",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
40,Wijfje,Melissa,NED,"1.17,28",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
40,Hirschbichler,Gabriele,GER,"1.17,28",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
42,van der Werff,Bo,NED,"1.17,38",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
43,van den Brandt,Floor,NED,"1.17,45",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
44,Oudenaarden,Tamara,CAN,"1.17,53",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,f,2014,1000
45,Rempel,Shannon,CAN,"1.17,74",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
46,Ryzhova,Margarita,RUS,"1.17,76",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
47,Toi,Saori,JPN,"1.17,77",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
48,Sumiyoshi,Miyako,JPN,"1.17,91",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
49,Bøkko,Hege,NOR,"1.17,97",2015-02-07,Heerenveen (NED),ISU World Cup,f,2014,1000
50,van der Weijden,Annouk,NED,"1.17,99",2015-02-08,Heerenveen (NED),ISU World Cup,f,2014,1000
51,Aseeva,Nadezhda,RUS,"1.18,06",2014-11-15,Obihiro (JPN),ISU World Cup,f,2014,1000
52,Sun,Nan,CHN,"1.18,09",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
52,Takagi,Miho,JPN,"1.18,09",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
54,Joling,Marije,NED,"1.18,11",2014-10-25,Heerenveen (NED),Trainingswedstrijd KNSB- en Merkenteams,f,2014,1000
55,Fujimori,Miki,JPN,"1.18,12",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
56,Rijpma-de Jong,Antoinette,NED,"1.18,14",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
57,Das,Anice,NED,"1.18,16",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
58,Schwartzburg,Paige,USA,"1.18,17",2015-03-07,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1000
59,Tabata,Maki,JPN,"1.18,20",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
60,Li,Huawei,CHN,"1.18,23",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
61,Morrison,Josie,CAN,"1.18,24",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
62,Weidemann,Isabelle,CAN,"1.18,26",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
63,Hudey,Marsha,CAN,"1.18,28",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
63,Fiset,Noémie,CAN,"1.18,28",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
65,Sha,Yuning,CHN,"1.18,30",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
65,Matsuda,Yuki,JPN,"1.18,30",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
67,Jang,Mee,KOR,"1.18,32",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
68,Golubeva,Elizaveta,KAZ,"1.18,34",2015-01-10,Kolomna,Russia Cup 4,f,2014,1000
68,Ost,Isabell,GER,"1.18,34",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
70,Tsuji,Maki,JPN,"1.18,39",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
71,Arshinova,Irina,RUS,"1.18,42",2015-01-10,Kolomna,Russia Cup 4,f,2014,1000
72,Golikova,Angelina,RUS,"1.18,46",2014-10-18,Kolomna,Russia Cup 1,f,2014,1000
72,Valkenburg,Diane,NED,"1.18,46",2015-01-17,Heerenveen (NED),Trainingswedstrijd JO en Merkenteams,f,2014,1000
72,Achtereekte,Carlijn,NED,"1.18,46",2015-02-07,Inzell (GER),Bayerische Meisterschaften 2015,f,2014,1000
75,Park,Seung-Joo,KOR,"1.18,52",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
76,Yu,Jing,CHN,"1.18,53",2014-12-21,Changchun (CHN),China - Sprint Championships 2015,f,2014,1000
77,Schouten,Irene,NED,"1.18,67",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
78,Roth,Denise,GER,"1.18,69",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
79,Shabanova,Alla,RUS,"1.18,72",2014-11-09,Kolomna,Moscow Region Open Championship,f,2014,1000
80,Kachurkina,Alexandra,RUS,"1.18,74",2015-03-07,Kolomna,Russia Cup,f,2014,1000
81,Pechstein,Claudia,GER,"1.18,76",2015-01-24,Berlin (GER),Germany - Sprint Championships 2015,f,2014,1000
82,Li,Xue,CHN,"1.18,77",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
83,Go,Arisa,JPN,"1.18,81",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
84,Voronina,Natalia,RUS,"1.18,85",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
85,Klijnstra,Moniek,NED,"1.18,86",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
86,Kim,Hyun-Yung,KOR,"1.18,87",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
86,Kuipers,Mayon,NED,"1.18,87",2014-10-11,Inzell (GER),International Season Opening,f,2014,1000
88,Nauta,Yvonne,NED,"1.18,96",2014-10-25,Heerenveen (NED),Trainingswedstrijd KNSB- en Merkenteams,f,2014,1000
89,Sáblíková,Martina,CZE,"1.19,00",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
90,Yamane,Kako,JPN,"1.19,02",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
91,Pater,Rosa,NED,"1.19,07",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
92,Kim,Min-Sun,KOR,"1.19,08",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
93,Zhang,Xin,CHN,"1.19,09",2015-02-07,Heerenveen (NED),ISU World Cup,f,2014,1000
94,Dufter,Roxane,GER,"1.19,10",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
95,Sato,Ayano,JPN,"1.19,15",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
96,Plate,Jennifer,GER,"1.19,17",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
97,Fu,Chunyan,CHN,"1.19,20",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
98,Liu,Jing,CHN,"1.19,21",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
98,van Elst,Isabelle,BEL,"1.19,21",2015-01-31,Heerenveen (NED),Vikingrace 2015,f,2014,1000
100,Anema,Reina,NED,"1.19,27",2014-10-11,Inzell (GER),International Season Opening,f,2014,1000
100,Abe,Yuka,JPN,"1.19,27",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
100,Murashova,Evgeniya,RUS,"1.19,27",2015-01-11,Kolomna,Russia Cup 4,f,2014,1000
100,Uhrig,Michelle,GER,"1.19,27",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
1,Njåtun,Ida,NOR,"1.52,71",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
2,Bergsma,Heather,USA,"1.53,42",2014-10-25,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,1500
3,Bowe,Brittany,USA,"1.53,50",2015-01-10,Milwaukee (USA),USA - Long Track Championships 2015,f,2014,1500
4,Wüst,Ireen,NED,"1.54,28",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
5,Christ,Kali,CAN,"1.54,44",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
6,Sáblíková,Martina,CZE,"1.54,55",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
7,de Vries,Linda,NED,"1.55,57",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
8,Leenstra,Marrit,NED,"1.55,90",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1500
9,Skokova,Yuliya,RUS,"1.56,30",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
10,Pechstein,Claudia,GER,"1.56,35",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
11,Takagi,Nana,JPN,"1.56,46",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
12,Złotkowska,Luiza,POL,"1.56,50",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
13,Takagi,Miho,JPN,"1.56,83",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
14,Joling,Marije,NED,"1.56,85",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1500
14,Blondin,Ivanie,CAN,"1.56,85",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
16,Li,Qishi,CHN,"1.56,88",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
17,Zhao,Xin,CHN,"1.57,44",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
18,Rijpma-de Jong,Antoinette,NED,"1.57,54",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1500
19,Kikuchi,Ayaka,JPN,"1.57,61",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
20,Wijfje,Melissa,NED,"1.57,62",2014-07-25,Inzell (GER),National Races DESG,f,2014,1500
21,Voorhuis,Jorien,NED,"1.57,86",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
22,Graf,Olga,RUS,"1.57,95",2014-10-29,Moscow,Moscow Open Cup / World Cup Qualifier,f,2014,1500
23,Nauta,Yvonne,NED,"1.58,09",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
24,Voronina,Natalia,RUS,"1.58,11",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
25,Achtereekte,Carlijn,NED,"1.58,32",2015-01-31,Hamar (NOR),ISU World Cup,f,2014,1500
26,de Neeling,Sanneke,NED,"1.58,33",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
27,Valkenburg,Diane,NED,"1.58,34",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
28,van Beek,Lotte,NED,"1.58,71",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
29,Kim,Bo-Reum,KOR,"1.58,86",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
30,de Jong,Letitia,NED,"1.58,87",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
31,Irvine,Kaylin,CAN,"1.58,90",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
