Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
88,van der Werf,Naomi,NED,"4.16,55",2024-03-13,Heerenveen (NED),4th Masters International Thialf Record Races,f,2023,3000
89,Kraaijeveld,Sophie,NED,"4.16,65",2023-11-10,Heerenveen (NED),Trainingswedstrijd Topteams,f,2023,3000
90,Piotrowska,Olga,POL,"4.16,91",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,f,2023,3000
91,Chen,Xiangyu,CHN,"4.16,94",2023-11-19,Beijing-National (CHN),ISU World Cup,f,2023,3000
92,Rosner,Jeannine,AUT,"4.16,97",2024-02-03,Hachinohe - YS Arena (JPN),ISU Junior World Cup Speed Skating #3,f,2023,3000
93,de Boer,Myrthe,NED,"4.17,21",2023-09-30,Heerenveen (NED),NK Clubs 2023,f,2023,3000
93,Li,Yunyuan,CHN,"4.17,21",2023-11-02,Hailar (CHN),China Cup 1,f,2023,3000
95,Lagrange,Eva,SWE,"4.17,90",2023-10-14,Inzell (GER),International Race,f,2023,3000
96,Li,Jiaxuan,CHN,"4.18,03",2024-01-13,Hailar (CHN),14th Winter Games of the People's Republic of China,f,2023,3000
97,de Neeling,Sanneke,NED,"4.18,07",2023-11-25,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2023,3000
98,Zhou,Jiarong,CHN,"4.18,23",2024-03-21,Beijing-National (CHN),China - Single Distances Championships 2024,f,2023,3000
99,Karai,Maho,JPN,"4.18,31",2023-11-25,Obihiro (JPN),2023 Meiji Hokkaido Tokachi Oval Speed Skating Competition Round 3,f,2023,3000
100,Oosterwijk,Sanne,NED,"4.18,32",2024-01-14,Heerenveen (NED),Netherlands - Junior A/B Championships 2024,f,2023,3000
1,Schouten,Irene,NED,"6.42,24",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,f,2023,5000
2,Beune,Joy,NED,"6.47,72",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
3,Groenewoud,Marijke,NED,"6.50,77",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,f,2023,5000
4,Sáblíková,Martina,CZE,"6.51,88",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
5,in 't Hof,Sanne,NED,"6.52,11",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,f,2023,5000
6,Wiklund,Ragne,NOR,"6.52,46",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
7,Weidemann,Isabelle,CAN,"6.55,47",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
8,Conijn,Merel,NED,"6.55,72",2024-02-25,Heerenveen (NED),Netherlands - Allround Championships 2024,f,2023,5000
9,Dul,Elisa,NED,"6.58,35",2023-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2024,f,2023,5000
10,Lollobrigida,Francesca,ITA,"6.58,75",2024-03-10,Inzell (GER),World Allround Championships 2024,f,2023,5000
11,Maltais,Valerie,CAN,"6.58,77",2023-10-06,Calgary (CAN),Canada - Long Track Championships 2024,f,2023,5000
12,Rijpma-de Jong,Antoinette,NED,"6.58,78",2024-03-10,Inzell (GER),World Allround Championships 2024,f,2023,5000
13,Kiel,Esther,NED,"6.59,63",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,f,2023,5000
14,Groot,Robin,NED,"7.00,56",2023-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2024,f,2023,5000
15,Horikawa,Momoka,JPN,"7.01,29",2023-10-22,Nagano (JPN),Japan - Single Distances Championships 2024,f,2023,5000
16,Yang,Binyu,CHN,"7.03,74",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
17,Visser,Esmee,NED,"7.04,24",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,f,2023,5000
18,Lorenzato,Laura,ITA,"7.04,53",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
19,Blondin,Ivanie,CAN,"7.04,65",2023-10-06,Calgary (CAN),Canada - Long Track Championships 2024,f,2023,5000
20,Kerkhoff,Bente,NED,"7.07,03",2023-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2024,f,2023,5000
21,Han,Mei,CHN,"7.07,43",2024-03-10,Inzell (GER),World Allround Championships 2024,f,2023,5000
22,Pruisscher,Arianna,NED,"7.07,47",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,f,2023,5000
23,Anema,Reina,NED,"7.07,59",2024-02-25,Heerenveen (NED),Netherlands - Allround Championships 2024,f,2023,5000
24,Zueva,Marina,BLR,"7.07,72",2023-11-12,Minsk,Belarus - Open Single Distances Championships 2024,f,2023,5000
25,Wijfje,Melissa,NED,"7.08,18",2024-02-25,Heerenveen (NED),Netherlands - Allround Championships 2024,f,2023,5000
26,Jin,Wenjing,CHN,"7.08,75",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
27,Sato,Ayano,JPN,"7.09,94",2024-03-10,Inzell (GER),World Allround Championships 2024,f,2023,5000
28,Hall,Laura,CAN,"7.11,30",2023-10-06,Calgary (CAN),Canada - Long Track Championships 2024,f,2023,5000
29,Aldoshkina,Ekaterina,RUS,"7.15,27",2023-12-27,Irkutsk-Baikal,Russia - Single Distances Championships 2024,f,2023,5000
30,Jansen,Eline,NED,"7.15,37",2023-10-07,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2023,5000
31,Grenier,Rose-Anne,CAN,"7.15,38",2024-03-08,Calgary (CAN),Olympic Oval Grand Prix - Canada Cup Final,f,2023,5000
32,McCluskey,Abigail,CAN,"7.15,71",2023-10-06,Calgary (CAN),Canada - Long Track Championships 2024,f,2023,5000
33,Haugen,Sofie Karoline,NOR,"7.16,71",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
34,Hofmann,Josie,GER,"7.16,80",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,f,2023,5000
35,Pechstein,Claudia,GER,"7.17,99",2023-10-28,Inzell (GER),Germany - Single Distances Championships 2024,f,2023,5000
36,Vijn,Evelien,NED,"7.18,22",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,f,2023,5000
37,Nitta,Kyoko,JPN,"7.19,73",2023-10-22,Nagano (JPN),Japan - Single Distances Championships 2024,f,2023,5000
38,Li,Jiaxuan,CHN,"7.20,59",2024-03-24,Beijing-National (CHN),China - Single Distances Championships 2024,f,2023,5000
39,Huang,Yulin,CHN,"7.20,96",2024-03-24,Beijing-National (CHN),China - Single Distances Championships 2024,f,2023,5000
40,Zhou,Jiarong,CHN,"7.21,73",2024-03-24,Beijing-National (CHN),China - Single Distances Championships 2024,f,2023,5000
41,Czyszczoń,Magdalena,POL,"7.22,11",2024-02-29,Tomaszów-Mazowiecki (POL),Poland - Allround Championships 2024,f,2023,5000
42,Kosheleva,Ekaterina,RUS,"7.22,58",2024-02-17,Chelyabinsk,II All-Russia Spartakiada,f,2023,5000
43,Momose,Manami,JPN,"7.22,72",2023-11-18,Obihiro (JPN),2023 Obihiro Forest Speed Skating Competition,f,2023,5000
44,Verweij,Maaike,NED,"7.23,95",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,f,2023,5000
45,Cayer,Laurie,CAN,"7.24,05",2024-03-08,Calgary (CAN),Olympic Oval Grand Prix - Canada Cup Final,f,2023,5000
46,Uwano,Eriko,JPN,"7.24,09",2024-03-02,Hachinohe - YS Arena (JPN),YS Cup - 2024 Nagane Final Speed Skating Competition,f,2023,5000
47,Williamson,Lemi,JPN,"7.24,12",2024-03-02,Hachinohe - YS Arena (JPN),YS Cup - 2024 Nagane Final Speed Skating Competition,f,2023,5000
48,Uhrig,Michelle,GER,"7.24,95",2023-10-28,Inzell (GER),Germany - Single Distances Championships 2024,f,2023,5000
49,Adake,Ahenaer,CHN,"7.25,03",2023-12-09,Changchun (CHN),China Cup 4,f,2023,5000
50,Tai,Zhien,CHN,"7.25,51",2024-03-24,Beijing-National (CHN),China - Single Distances Championships 2024,f,2023,5000
51,Chen,Xiangyu,CHN,"7.25,85",2024-03-15,Beijing-National (CHN),China - National Championships 2024,f,2023,5000
52,Talsma,Kim,NED,"7.26,00",2024-02-25,Heerenveen (NED),Netherlands - Allround Championships 2024,f,2023,5000
53,Maeda,Azusa,JPN,"7.26,24",2024-03-02,Hachinohe - YS Arena (JPN),YS Cup - 2024 Nagane Final Speed Skating Competition,f,2023,5000
54,Bekker,Alisa,RUS,"7.27,16",2024-02-17,Chelyabinsk,II All-Russia Spartakiada,f,2023,5000
55,Mossinkoff,Femke,NED,"7.27,56",2023-10-14,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2023,5000
56,Bachl,Julia,GER,"7.27,73",2023-10-28,Inzell (GER),Germany - Single Distances Championships 2024,f,2023,5000
57,Grigoreva,Anastasiia,RUS,"7.28,99",2023-12-01,Chelyabinsk,Russia Cup Allround/Sprint,f,2023,5000
58,Lagrange,Eva,SWE,"7.29,08",2023-10-07,Inzell (GER),International Season Opening,f,2023,5000
59,Wang,Caihong,CHN,"7.29,43",2024-01-14,Hailar (CHN),14th Winter Games of the People's Republic of China,f,2023,5000
60,Eichler,Ingrid Håkegård,NOR,"7.29,90",2024-01-14,Hamar (NOR),Norway - Allround Championships 2024,f,2023,5000
61,Karai,Maho,JPN,"7.31,19",2023-10-22,Nagano (JPN),Japan - Single Distances Championships 2024,f,2023,5000
62,Myers,Greta,USA,"7.31,23",2023-12-03,Stavanger (NOR),ISU World Cup #3,f,2023,5000
63,Karai,Harune,JPN,"7.31,49",2023-08-26,Hachinohe - YS Arena (JPN),2023 Longnet Summer Speed Skating Competition,f,2023,5000
64,Mallard,Claire,CAN,"7.31,51",2023-10-06,Calgary (CAN),Canada - Long Track Championships 2024,f,2023,5000
65,Gao,Chenxi,CHN,"7.31,80",2023-12-09,Changchun (CHN),China Cup 4,f,2023,5000
66,Onodera,Yuna,JPN,"7.32,58",2023-12-03,Stavanger (NOR),ISU World Cup #3,f,2023,5000
67,Salnikova,Irina,RUS,"7.32,83",2023-12-01,Chelyabinsk,Russia Cup Allround/Sprint,f,2023,5000
68,Løvås,Aurora Grinden,NOR,"7.32,93",2024-01-14,Hamar (NOR),Norway - Allround Championships 2024,f,2023,5000
69,Ma,Yuhan,CHN,"7.33,93",2023-12-09,Changchun (CHN),China Cup 4,f,2023,5000
70,Wenger,Nadja,SUI,"7.34,42",2024-01-05,Salt Lake City (USA),Winter World Cup Qualifier,f,2023,5000
71,Takigami,Tsukushi,JPN,"7.34,49",2023-10-22,Nagano (JPN),Japan - Single Distances Championships 2024,f,2023,5000
72,Birkeland,Giorgia,USA,"7.34,65",2024-01-05,Salt Lake City (USA),Winter World Cup Qualifier,f,2023,5000
73,Mercs,Abigél,HUN,"7.34,73",2024-01-05,Salt Lake City (USA),Winter World Cup Qualifier,f,2023,5000
73,Iida,Akane,JPN,"7.34,73",2024-03-02,Hachinohe - YS Arena (JPN),YS Cup - 2024 Nagane Final Speed Skating Competition,f,2023,5000
75,van Voorden,Eline,NED,"7.34,83",2024-02-11,Haarlem (NED),Bob de Jong Bokaal,f,2023,5000
76,Verhaar,Paulien,NED,"7.35,61",2023-11-19,Groningen (NED),Holland Cup 2a / Gruno Bokaal,f,2023,5000
77,Tachibana,Kirara,JPN,"7.35,66",2024-03-02,Hachinohe - YS Arena (JPN),YS Cup - 2024 Nagane Final Speed Skating Competition,f,2023,5000
78,Kravchenko,Aleksandra,RUS,"7.35,98",2023-12-01,Chelyabinsk,Russia Cup Allround/Sprint,f,2023,5000
78,Groenewoud,Jade,NED,"7.35,98",2024-02-25,Heerenveen (NED),Netherlands - Allround Championships 2024,f,2023,5000
80,Lancee,Gioya,NED,"7.36,06",2023-11-19,Groningen (NED),Holland Cup 2a / Gruno Bokaal,f,2023,5000
81,Svenni,Hanna,NOR,"7.36,46",2024-01-14,Hamar (NOR),Norway - Allround Championships 2024,f,2023,5000
82,Soldan,Marley,USA,"7.36,56",2024-03-09,Salt Lake City (USA),AmCup Final,f,2023,5000
83,Kraaijeveld,Sophie,NED,"7.36,97",2024-02-11,Haarlem (NED),Bob de Jong Bokaal,f,2023,5000
84,Korzhova,Kseniya,RUS,"7.37,03",2024-02-17,Chelyabinsk,II All-Russia Spartakiada,f,2023,5000
85,Kavaliova,Hanna,BLR,"7.37,28",2023-10-20,Kolomna,B. I. Shavyrin Memorial,f,2023,5000
86,Rossi,Linda,ITA,"7.37,39",2024-02-24,Baselga di Pinè (ITA),Italy - Single Distances Championshps 2024,f,2023,5000
87,Semyonova,Anastasiya,RUS,"7.37,43",2024-02-17,Chelyabinsk,II All-Russia Spartakiada,f,2023,5000
88,Konstantinova,Ekaterina,RUS,"7.37,59",2024-02-17,Chelyabinsk,II All-Russia Spartakiada,f,2023,5000
89,Suzuki,Shuuka,JPN,"7.37,62",2024-03-02,Hachinohe - YS Arena (JPN),YS Cup - 2024 Nagane Final Speed Skating Competition,f,2023,5000
90,Furnée,Marte Bjerkreim,NOR,"7.37,95",2024-01-14,Hamar (NOR),Norway - Allround Championships 2024,f,2023,5000
91,Zhang,Xiaoping,CHN,"7.38,02",2024-01-14,Hailar (CHN),14th Winter Games of the People's Republic of China,f,2023,5000
92,Jabrzyk,Natalia,POL,"7.38,17",2024-02-29,Tomaszów-Mazowiecki (POL),Poland - Allround Championships 2024,f,2023,5000
93,Chen,Sijia,CHN,"7.38,36",2024-03-15,Beijing-National (CHN),China - National Championships 2024,f,2023,5000
94,Oosterwijk,Sanne,NED,"7.38,41",2023-10-09,Heerenveen (NED),Gewestelijke Wedstrijd,f,2023,5000
95,Ehseluns,Marlen,GER,"7.38,42",2023-10-28,Inzell (GER),Germany - Single Distances Championships 2024,f,2023,5000
96,Schilder,Sofia,NED,"7.38,83",2024-03-03,Hoorn (NED),Netherlands - Junior A/B Sprint / Long Distance / Team Sprint Championships 2024,f,2023,5000
97,Kondo,Anna,JPN,"7.39,17",2023-08-26,Hachinohe - YS Arena (JPN),2023 Longnet Summer Speed Skating Competition,f,2023,5000
98,Zhao,Xin,CHN,"7.39,36",2023-11-11,Harbin (CHN),China Cup 2,f,2023,5000
99,Yin,Qi,CHN,"7.39,43",2023-11-11,Harbin (CHN),China Cup 2,f,2023,5000
100,Sivets,Polina,BLR,"7.39,82",2023-11-12,Minsk,Belarus - Open Single Distances Championships 2024,f,2023,5000
1,Kulizhnikov,Pavel,RUS,"34,38",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
2,Mulder,Ronald,NED,"34,49",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,500
3,Dubreuil,Laurent,CAN,"34,50",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
4,Whitmore,Mitchell,USA,"34,53",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5,Junio,Gilmore,CAN,"34,55",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
6,Otterspeer,Hein,NED,"34,74",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
6,Boisvert-Lacroix,Alex,CAN,"34,74",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,500
8,Gregg,Jamie,CAN,"34,77",2014-11-21,Calgary (CAN),Can-Am International,m,2014,500
8,Mulder,Michel,NED,"34,77",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
10,Waś,Artur,POL,"34,79",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
11,St-Jean,Alexandre,CAN,"34,82",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
12,Dutton,William,CAN,"34,85",2014-10-25,Calgary (CAN),World Cup Trials,m,2014,500
12,Smeekens,Jan,NED,"34,85",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,500
14,Verbij,Kai,NED,"34,87",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
15,MacLennan,Richard,CAN,"34,89",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
16,Mo,Tae-Bum,KOR,"34,90",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
17,Krech,Roman,KAZ,"34,92",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
18,Murashov,Ruslan,RUS,"34,95",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
19,Hvammen,Espen Aarnes,NOR,"34,97",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
19,Riopel,Philippe,CAN,"34,97",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
19,Nakao,Koto,JPN,"34,97",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
22,Morrison,Denny,CAN,"34,98",2015-03-07,Calgary (CAN),World Allround Championships 2015,m,2014,500
23,Derraugh,Tyler,CAN,"35,00",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
24,Poutala,Mika,FIN,"35,03",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
25,Yesin,Alexey,RUS,"35,04",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
26,Ihle,Nico,GER,"35,05",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
27,Hospes,Jesper,NED,"35,06",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
27,N'tab,Dai Dai,NED,"35,06",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
29,Kim,Jun-Ho,KOR,"35,10",2014-09-28,Calgary (CAN),Fall Classic,m,2014,500
29,Koval,Denis,RUS,"35,10",2014-12-07,Berlin (GER),ISU World Cup,m,2014,500
31,Haga,Ryohei,JPN,"35,13",2014-12-05,Berlin (GER),ISU World Cup,m,2014,500
32,De Haître,Vincent,CAN,"35,14",2014-10-25,Calgary (CAN),World Cup Trials,m,2014,500
33,Schipper,Pim,NED,"35,15",2015-01-31,Heerenveen (NED),Trainingswedstrijd JO en Merkenteams,m,2014,500
33,Jorritsma,Gerben,NED,"35,15",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
35,Kuznetsov,Artyom,RUS,"35,23",2014-12-05,Berlin (GER),ISU World Cup,m,2014,500
36,Nenzi,Mirko Giacomo,ITA,"35,25",2014-12-21,Almaty (KAZ),2nd World University Championships,m,2014,500
37,Oikawa,Yuya,JPN,"35,26",2014-10-25,Nagano (JPN),Japan - Single Distances Championships 2015,m,2014,500
37,Sung,Ching-Yang,TPE,"35,26",2015-01-11,Changchun (CHN),Asian Single Distances Championships 2015,m,2014,500
39,Nogal,Artur,POL,"35,27",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
40,Garcia,Jonathan,USA,"35,30",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
41,Koskela,Pekka,FIN,"35,31",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
42,Nagashima,Keiichiro,JPN,"35,34",2014-12-12,Heerenveen (NED),ISU World Cup,m,2014,500
43,Lorentzen,Håvard Holmefjord,NOR,"35,37",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
44,Nakamura,Kento,JPN,"35,40",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
45,Mu,Zhongsheng,CHN,"35,41",2014-12-12,Heerenveen (NED),ISU World Cup,m,2014,500
45,Davis,Shani,USA,"35,41",2015-01-09,Milwaukee (USA),USA - Long Track Championships 2015,m,2014,500
47,Nuis,Kjeld,NED,"35,42",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,500
47,Yamanaka,Daichi,JPN,"35,42",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
49,Lee,Kang-Seok,KOR,"35,43",2014-10-11,Calgary (CAN),Time Trials,m,2014,500
49,van Oosten,Martijn,NED,"35,43",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
49,Romeijn,Aron,NED,"35,43",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
52,Schwarz,Samuel,GER,"35,44",2014-12-05,Berlin (GER),ISU World Cup,m,2014,500
53,Choi,Mikhail,CAN,"35,46",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
54,Xie,Jiaxuan,CHN,"35,48",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
54,Michalski,Piotr,POL,"35,48",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
56,Kim,Seong-Kyu,KOR,"35,50",2014-10-11,Calgary (CAN),Time Trials,m,2014,500
56,Ouardi,Muncef,CAN,"35,50",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
56,Wang,Nan,CHN,"35,50",2015-01-11,Changchun (CHN),Asian Single Distances Championships 2015,m,2014,500
59,Ishiro,Kazuki,JPN,"35,51",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
60,Velema,Lennart,NED,"35,52",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,500
60,Ihle,Denny,GER,"35,52",2014-12-05,Berlin (GER),ISU World Cup,m,2014,500
62,Hasegawa,Tsubasa,JPN,"35,53",2014-12-12,Heerenveen (NED),ISU World Cup,m,2014,500
63,Mezentsev,Fedor,KAZ,"35,57",2014-12-21,Almaty (KAZ),2nd World University Championships,m,2014,500
63,Kim,Tae-Yun,KOR,"35,57",2015-03-20,Seoul (KOR),48th National University Championships,m,2014,500
65,Kuzin,Denis,KAZ,"35,58",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
66,Griffin,Kimani,USA,"35,59",2015-01-09,Milwaukee (USA),USA - Long Track Championships 2015,m,2014,500
66,Guo,Qiang,CHN,"35,59",2015-01-11,Changchun (CHN),Asian Single Distances Championships 2015,m,2014,500
66,Zanghellini,Luca,ITA,"35,59",2015-02-14,Inzell (GER),Frillensee Cup,m,2014,500
69,Groothuis,Stefan,NED,"35,60",2014-10-11,Inzell (GER),International Season Opening,m,2014,500
69,Owada,Tsukasa,JPN,"35,60",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,m,2014,500
71,Carruthers,Dan,CAN,"35,62",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
72,Dressel,Denis,GER,"35,63",2015-01-18,Inzell (GER),Frillensee Cup,m,2014,500
73,Yuskov,Denis,RUS,"35,64",2015-03-07,Calgary (CAN),World Allround Championships 2015,m,2014,500
73,Levo,Harri,FIN,"35,64",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
75,Mantia,Joey,USA,"35,65",2015-01-09,Milwaukee (USA),USA - Long Track Championships 2015,m,2014,500
75,Henkelman,Jordan,CAN,"35,65",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,500
77,Moon,Joon,KOR,"35,67",2014-10-04,Calgary (CAN),Time Trials,m,2014,500
77,Murakami,Yuma,JPN,"35,67",2014-11-08,Obihiro (JPN),Japan Cup 1,m,2014,500
77,Bosa,David,ITA,"35,67",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
80,Krol,Thomas,NED,"35,69",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,500
80,Kim,Jin-Su,KOR,"35,69",2015-03-20,Seoul (KOR),2015 Korea Skating Union Business Competition,m,2014,500
82,Bai,Qiuming,CHN,"35,70",2014-09-26,Calgary (CAN),Fall Classic,m,2014,500
83,Oberbichler,Christian,SUI,"35,71",2014-12-12,Heerenveen (NED),ISU World Cup,m,2014,500
83,Zhang,Zhongqi,CHN,"35,71",2014-12-20,Changchun (CHN),China - Sprint Championships 2015,m,2014,500
83,Nakamura,Shunsuke,JPN,"35,71",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,m,2014,500
86,Nilsen,Simen Spieler,NOR,"35,72",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
86,Bogolyubskij,Igor,RUS,"35,72",2015-03-07,Kolomna,Russia Cup,m,2014,500
88,Rukke,Christoffer Fagerli,NOR,"35,74",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
89,Bøkko,Håvard,NOR,"35,75",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
89,Bródka,Zbigniew,POL,"35,75",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
89,Kim,Woo-Jin,KOR,"35,75",2015-03-14,Seoul (KOR),50th Memorial Competition,m,2014,500
92,Ruel-Garvey,Alex,CAN,"35,76",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,500
93,Im,Joon-Hong,KOR,"35,77",2015-03-20,Seoul (KOR),48th National University Championships,m,2014,500
94,Lobkov,Dmitrij,RUS,"35,79",2014-11-13,Chelyabinsk,Russia Cup 2,m,2014,500
95,de Vries,Sjoerd,NED,"35,80",2015-01-03,Inzell (GER),Frillensee Cup,m,2014,500
95,Verweij,Koen,NED,"35,80",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
97,Hamelin,François,CAN,"35,81",2014-10-25,Calgary (CAN),World Cup Trials,m,2014,500
97,Ikeda,Shinichiro,JPN,"35,81",2014-10-25,Nagano (JPN),Japan - Single Distances Championships 2015,m,2014,500
97,Yamada,Masaya,JPN,"35,81",2014-11-23,Calgary (CAN),ISU Junior World Cup,m,2014,500
97,Wijsman,Arvin,NED,"35,81",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
1,De Haître,Vincent,CAN,"1.07,63",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
2,Verbij,Kai,NED,"1.07,74",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
3,Gregg,Jamie,CAN,"1.07,89",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
4,Morrison,Denny,CAN,"1.07,98",2014-10-26,Calgary (CAN),World Cup Trials,m,2014,1000
5,Mulder,Ronald,NED,"1.07,99",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
6,Davis,Shani,USA,"1.08,03",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,m,2014,1000
7,Whitmore,Mitchell,USA,"1.08,24",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
8,Nuis,Kjeld,NED,"1.08,25",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,1000
9,Mantia,Joey,USA,"1.08,30",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,m,2014,1000
10,Dubreuil,Laurent,CAN,"1.08,40",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
11,Derraugh,Tyler,CAN,"1.08,44",2014-10-26,Calgary (CAN),World Cup Trials,m,2014,1000
12,St-Jean,Alexandre,CAN,"1.08,55",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
13,Groothuis,Stefan,NED,"1.08,56",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,1000
