,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
1043,39,Tian,Ruining,CHN,"38,62",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1044,40,Li,Huawei,CHN,"38,67",2017-03-17,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1045,41,Kim,Hyun-Yung,KOR,"38,68",2016-09-25,Calgary (CAN),2016 Fall Classic,f,2016,500
1046,42,Tandiman,Jerica,USA,"38,75",2017-03-11,Salt Lake City (USA),AmCup Final / Champions Challenge / Masters Open,f,2016,500
1047,43,Smit,Janine,NED,"38,80",2017-01-07,Inzell (GER),Frillensee Cup,f,2016,500
1048,44,Wüst,Ireen,NED,"38,82",2017-03-04,Hamar (NOR),World Allround Championships 2017,f,2016,500
1049,45,Czerwonka,Natalia,POL,"38,86",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,500
1050,46,Shi,Xiaoxuan,CHN,"38,87",2016-10-21,Urumqi (CHN),China - National Championships 2017 ,f,2016,500
1051,47,Sumiyoshi,Miyako,JPN,"38,88",2016-11-25,Calgary (CAN),CanAm International,f,2016,500
1052,47,Bradford,Rebekah,USA,"38,88",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1053,49,Zhao,Xin,CHN,"38,94",2016-10-16,Urumqi (CHN),China Cup 1,f,2016,500
1054,50,Lin,Xue,CHN,"38,96",2016-10-16,Urumqi (CHN),China Cup 1,f,2016,500
1055,51,Bucsis,Anastasia,CAN,"38,97",2016-11-25,Calgary (CAN),CanAm International,f,2016,500
1056,51,Schwartzburg,Paige,USA,"38,97",2017-03-11,Salt Lake City (USA),AmCup Final / Champions Challenge / Masters Open,f,2016,500
1057,53,van der Werff,Bo,NED,"38,98",2016-12-04,Astana (KAZ),ISU World Cup,f,2016,500
1058,54,Han,Mei,CHN,"39,02",2017-03-17,Urumqi (CHN),China Cup 5,f,2016,500
1059,55,Lobysheva,Ekaterina,RUS,"39,09",2016-12-26,Kolomna,Russia - Single Distances Championships 2017,f,2016,500
1060,56,Hiller,Carolina,CAN,"39,10",2016-11-25,Calgary (CAN),CanAm International,f,2016,500
1061,57,Sha,Yuning,CHN,"39,12",2016-10-16,Urumqi (CHN),China Cup 1,f,2016,500
1062,58,Tsujimoto,Arisa,JPN,"39,13",2017-02-02,Almaty (KAZ),28th Winter Universiade,f,2016,500
1063,58,Zhan,Xue,CHN,"39,13",2017-03-17,Urumqi (CHN),China Cup 5,f,2016,500
1064,60,Ziomek,Kaja,POL,"39,14",2017-03-17,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1065,61,de Jong,Letitia,NED,"39,15",2017-01-14,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2016,500
1066,61,van Elst,Isabelle,BEL,"39,15",2017-02-03,Heerenveen (NED),Netherlands - Junior Championships 2017,f,2016,500
1067,63,Koval,Yuliya,RUS,"39,17",2016-12-26,Kolomna,Russia - Single Distances Championships 2017,f,2016,500
1068,63,Schulting,Suzanne,NED,"39,17",2016-12-29,Heerenveen (NED),Netherlands - Single Distances Championships 2017,f,2016,500
1069,65,Yamada,Rio,JPN,"39,18",2016-12-29,Nagano (JPN),Japan - Sprint Championships 2017,f,2016,500
1070,66,Risku,Elina,FIN,"39,20",2016-10-22,Inzell (GER),International Race,f,2016,500
1071,67,van Hemert,Roxanne,NED,"39,21",2017-03-17,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1072,68,Yang,Sining,CHN,"39,23",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1073,69,Nam,Ye-Won,KOR,"39,25",2016-10-08,Calgary (CAN),Time Trials,f,2016,500
1074,70,Blondin,Ivanie,CAN,"39,26",2017-01-05,Calgary (CAN),Canada - Single Distances Championships 2017,f,2016,500
1075,70,Kachurkina,Alexandra,RUS,"39,26",2017-02-02,Almaty (KAZ),28th Winter Universiade,f,2016,500
1076,72,Dufter,Roxane,GER,"39,27",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,500
1077,73,de Jong,Michelle,NED,"39,28",2017-03-03,Heerenveen (NED),Vikingrace 2017,f,2016,500
1078,74,Soga,Konami,JPN,"39,29",2016-12-28,Nagano (JPN),Japan - Sprint Championships 2017,f,2016,500
1079,74,Lamarche,Béatrice,CAN,"39,29",2017-01-05,Calgary (CAN),Canada - Single Distances Championships 2017,f,2016,500
1080,76,Li,Na,CHN,"39,30",2016-10-16,Urumqi (CHN),China Cup 1,f,2016,500
1081,77,Kuipers,Mayon,NED,"39,32",2016-10-08,Inzell (GER),International Season Opening,f,2016,500
1082,77,Gunther,Kelly,USA,"39,32",2016-12-30,Salt Lake City (USA),Time Trials,f,2016,500
1083,79,Toi,Saori,JPN,"39,33",2016-10-22,Nagano (JPN),Japan - Single Distances Championships 2017,f,2016,500
1084,80,Njåtun,Ida,NOR,"39,35",2017-03-04,Hamar (NOR),World Allround Championships 2017,f,2016,500
1085,81,Bai,Dan,CHN,"39,36",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1086,82,Takagi,Nana,JPN,"39,38",2017-03-04,Hamar (NOR),World Allround Championships 2017,f,2016,500
1087,83,Han,Miao,CHN,"39,39",2016-10-21,Urumqi (CHN),China - National Championships 2017 ,f,2016,500
1088,84,Asano,Miku,JPN,"39,40",2016-12-29,Nagano (JPN),Japan - Sprint Championships 2017,f,2016,500
1089,84,McCluskey,Abigail,CAN,"39,40",2017-01-05,Calgary (CAN),Canada - Single Distances Championships 2017,f,2016,500
1090,86,Oshigiri,Misaki,JPN,"39,41",2016-12-20,Obihiro (JPN),Japan - Allround Championships 2017,f,2016,500
1091,87,Sato,Ayano,JPN,"39,44",2017-03-04,Hamar (NOR),World Allround Championships 2017,f,2016,500
1092,88,Bannink,Danouk,NED,"39,45",2017-01-07,Inzell (GER),Frillensee Cup,f,2016,500
1093,89,Christ,Kali,CAN,"39,46",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1094,90,Matsuda,Yuki,JPN,"39,47",2016-12-29,Nagano (JPN),Japan - Sprint Championships 2017,f,2016,500
1095,91,Boogaard,Tessa,NED,"39,48",2017-01-22,Heerenveen (NED),Netherlands - Sprint Championships 2017,f,2016,500
1096,92,Klijnstra,Moniek,NED,"39,49",2016-12-29,Heerenveen (NED),Netherlands - Single Distances Championships 2017,f,2016,500
1097,92,Stollenga,Esmé,NED,"39,49",2016-12-29,Heerenveen (NED),Netherlands - Single Distances Championships 2017,f,2016,500
1098,92,Leerdam,Jutta,NED,"39,49",2017-02-03,Heerenveen (NED),Netherlands - Junior Championships 2017,f,2016,500
1099,92,Jeppsson,Rikke,NOR,"39,49",2017-03-17,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,500
1100,96,Beuling,Femke,NED,"39,53",2017-03-03,Heerenveen (NED),Vikingrace 2017,f,2016,500
1101,97,Nakamura,Anna,JPN,"39,56",2016-12-28,Nagano (JPN),Japan - Sprint Championships 2017,f,2016,500
1102,97,Rijpma-de Jong,Antoinette,NED,"39,56",2017-01-06,Heerenveen (NED),European Allround Championships 2017,f,2016,500
1103,99,Bonazza,Noemi,ITA,"39,57",2017-02-25,Inzell (GER),International Race,f,2016,500
1104,100,Inagawa,Kurumi,JPN,"39,59",2016-10-22,Nagano (JPN),Japan - Single Distances Championships 2017,f,2016,500
1105,100,Golubeva,Elizaveta,KAZ,"39,59",2016-12-26,Kolomna,Russia - Single Distances Championships 2017,f,2016,500
1106,100,Hwang,Da-Som,KOR,"39,59",2017-01-22,Collalbo (ITA),ISU Junior World Cup,f,2016,500
1107,1,Bergsma,Heather,USA,"1.12,28",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1108,2,Kodaira,Nao,JPN,"1.12,51",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1109,3,ter Mors,Jorien,NED,"1.12,53",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1110,4,Erbanová,Karolina,CZE,"1.13,53",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1111,5,Leenstra,Marrit,NED,"1.13,75",2017-02-18,Calgary (CAN),Time Trials,f,2016,1000
1112,6,Shikhova,Yekaterina,RUS,"1.13,95",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1113,7,Bøkko,Hege,NOR,"1.13,96",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1114,8,Tsuji,Maki,JPN,"1.14,10",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1115,9,de Neeling,Sanneke,NED,"1.14,33",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1116,10,Carruthers,Heather,CAN,"1.14,36",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1117,11,Zhang,Hong,CHN,"1.14,42",2016-10-14,Urumqi (CHN),China Cup 1,f,2016,1000
1118,12,Herzog,Vanessa,AUT,"1.14,45",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1119,13,Hirschbichler,Gabriele,GER,"1.14,49",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1120,14,Dufter,Roxane,GER,"1.14,61",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1121,15,Fatkulina,Olga,RUS,"1.14,64",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1122,16,Aydova,Yekaterina,KAZ,"1.14,74",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1123,17,Czerwonka,Natalia,POL,"1.14,78",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1124,18,Aseeva,Nadezhda,RUS,"1.14,80",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1125,19,Kamiya,Erina,JPN,"1.15,02",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1126,20,Bowe,Brittany,USA,"1.15,03",2016-12-11,Heerenveen (NED),ISU World Cup,f,2016,1000
1127,21,Todd,Sugar,USA,"1.15,05",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1128,22,Das,Anice,NED,"1.15,11",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1129,23,Sun,Nan,CHN,"1.15,14",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1130,24,Takagi,Miho,JPN,"1.15,21",2016-12-29,Nagano (JPN),Japan - Sprint Championships 2017,f,2016,1000
1131,25,Yu,Jing,CHN,"1.15,27",2016-10-14,Urumqi (CHN),China Cup 1,f,2016,1000
1132,26,Blondin,Ivanie,CAN,"1.15,54",2016-10-22,Calgary (CAN),2016 Oval International / World Cup Selections,f,2016,1000
1133,27,van Hemert,Roxanne,NED,"1.15,55",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1134,28,Morrison,Keri,CAN,"1.15,61",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1135,29,Hudey,Marsha,CAN,"1.15,69",2016-10-22,Calgary (CAN),2016 Oval International / World Cup Selections,f,2016,1000
1136,30,Bettrone,Francesca,ITA,"1.15,70",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1137,31,Wüst,Ireen,NED,"1.15,73",2017-01-21,Heerenveen (NED),Netherlands - Sprint Championships 2017,f,2016,1000
1138,32,Irvine,Kaylin,CAN,"1.15,75",2017-01-05,Calgary (CAN),Canada - Single Distances Championships 2017,f,2016,1000
1139,33,Lobysheva,Ekaterina,RUS,"1.16,00",2017-02-11,Gangneung (KOR),World Single Distances Championships 2017,f,2016,1000
1140,34,Lee,Sang-Hwa,KOR,"1.16,01",2017-02-20,Obihiro (JPN),2017 Asian Winter Games,f,2016,1000
1141,35,Lamarche,Béatrice,CAN,"1.16,05",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1142,36,Go,Arisa,JPN,"1.16,11",2017-02-11,Gangneung (KOR),World Single Distances Championships 2017,f,2016,1000
1143,37,Schulting,Suzanne,NED,"1.16,17",2016-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2017,f,2016,1000
1144,38,Li,Qishi,CHN,"1.16,18",2016-10-14,Urumqi (CHN),China Cup 1,f,2016,1000
1145,39,Fiset,Noémie,CAN,"1.16,26",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1146,40,Kim,Hyun-Yung,KOR,"1.16,32",2016-10-08,Calgary (CAN),Time Trials,f,2016,1000
1147,41,Kachanova,Daria,RUS,"1.16,33",2016-12-28,Kolomna,Russia - Single Distances Championships 2017,f,2016,1000
1148,42,Schwartzburg,Paige,USA,"1.16,55",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1149,43,Tandiman,Jerica,USA,"1.16,62",2017-01-08,Salt Lake City (USA),USA - Long Track Championships 2017,f,2016,1000
1150,43,Ripsrud,Martine,NOR,"1.16,62",2017-02-25,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1151,45,Tian,Ruining,CHN,"1.16,63",2016-10-22,Urumqi (CHN),China - National Championships 2017 ,f,2016,1000
1152,46,Oshigiri,Misaki,JPN,"1.16,67",2016-10-23,Nagano (JPN),Japan - Single Distances Championships 2017,f,2016,1000
1153,47,Bradford,Rebekah,USA,"1.16,76",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1154,48,Dannhauer,Judith,GER,"1.16,80",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1155,49,Park,Seung-Hi,KOR,"1.16,82",2017-02-20,Obihiro (JPN),2017 Asian Winter Games,f,2016,1000
1156,50,Zhan,Xue,CHN,"1.16,90",2017-03-19,Urumqi (CHN),China Cup 5,f,2016,1000
1157,51,Njåtun,Ida,NOR,"1.16,91",2016-11-19,Nagano (JPN),ISU World Cup,f,2016,1000
1158,52,Gunther,Kelly,USA,"1.16,94",2017-03-12,Salt Lake City (USA),AmCup Final / Champions Challenge / Masters Open,f,2016,1000
1159,53,Morrison,Josie,CAN,"1.17,00",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1160,54,Tutt,Brianne,CAN,"1.17,02",2016-10-22,Calgary (CAN),2016 Oval International / World Cup Selections,f,2016,1000
1161,55,de Jong,Letitia,NED,"1.17,05",2017-01-22,Heerenveen (NED),Netherlands - Sprint Championships 2017,f,2016,1000
1162,56,Christ,Kali,CAN,"1.17,06",2016-10-22,Calgary (CAN),2016 Oval International / World Cup Selections,f,2016,1000
1163,57,Zhao,Xin,CHN,"1.17,10",2016-09-24,Calgary (CAN),2016 Fall Classic,f,2016,1000
1164,57,McCluskey,Abigail,CAN,"1.17,10",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1165,59,Sáblíková,Martina,CZE,"1.17,20",2016-10-21,Inzell (GER),International Race,f,2016,1000
1166,60,Xi,Dongxue,CHN,"1.17,23",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1167,61,Ost,Isabell,GER,"1.17,33",2016-10-30,Inzell (GER),Germany - Single Distances Championships 2017,f,2016,1000
1168,62,Li,Huawei,CHN,"1.17,38",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1169,63,Kachurkina,Alexandra,RUS,"1.17,39",2016-12-28,Kolomna,Russia - Single Distances Championships 2017,f,2016,1000
1170,63,Bai,Dan,CHN,"1.17,39",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1171,65,Joling,Marije,NED,"1.17,44",2016-12-21,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2016,1000
1172,66,Manganello,Mia,USA,"1.17,49",2016-10-08,Salt Lake City (USA),Time Trials,f,2016,1000
1173,67,Leerdam,Jutta,NED,"1.17,52",2017-02-04,Heerenveen (NED),Netherlands - Junior Championships 2017,f,2016,1000
1174,68,van der Werff,Bo,NED,"1.17,54",2016-10-08,Inzell (GER),International Season Opening,f,2016,1000
1175,69,Han,Mei,CHN,"1.17,55",2017-03-19,Urumqi (CHN),China Cup 5,f,2016,1000
1176,70,Rijpma-de Jong,Antoinette,NED,"1.17,59",2016-10-22,Leeuwarden (NED),Trainingswestrijd KNSB- en Topteams,f,2016,1000
1177,71,Tsujimoto,Arisa,JPN,"1.17,61",2017-02-19,Nagano (JPN),15th M-Wave Competition,f,2016,1000
1178,72,Hiller,Carolina,CAN,"1.17,62",2016-11-27,Calgary (CAN),CanAm International,f,2016,1000
1179,73,Sha,Yuning,CHN,"1.17,64",2017-03-19,Urumqi (CHN),China Cup 5,f,2016,1000
1180,74,Bucsis,Anastasia,CAN,"1.17,65",2016-11-26,Calgary (CAN),CanAm International,f,2016,1000
1181,75,Sato,Ayano,JPN,"1.17,66",2016-12-28,Nagano (JPN),Japan - Sprint Championships 2017,f,2016,1000
1182,76,Sumiyoshi,Miyako,JPN,"1.17,68",2016-11-27,Calgary (CAN),CanAm International,f,2016,1000
1183,77,Weidemann,Isabelle,CAN,"1.17,69",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1184,78,Pearman,Maddison,CAN,"1.17,70",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1185,79,Rempel,Shannon,CAN,"1.17,75",2016-11-26,Calgary (CAN),CanAm International,f,2016,1000
1186,80,Smit,Janine,NED,"1.17,80",2016-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2017,f,2016,1000
1187,81,van der Schaar,Sanne,NED,"1.17,81",2016-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2017,f,2016,1000
1188,81,Ziomek,Kaja,POL,"1.17,81",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1189,83,Daldossi,Yvonne,ITA,"1.17,86",2017-02-26,Calgary (CAN),World Sprint Championships 2017,f,2016,1000
1190,84,Takahashi,Nana,JPN,"1.17,90",2017-03-16,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1191,85,Golubeva,Elizaveta,KAZ,"1.17,91",2016-12-28,Kolomna,Russia - Single Distances Championships 2017,f,2016,1000
1192,86,Kim,Ha-Eun,KOR,"1.17,92",2016-11-27,Calgary (CAN),CanAm International,f,2016,1000
1193,87,Bonazza,Noemi,ITA,"1.17,99",2017-02-24,Inzell (GER),International Race,f,2016,1000
1194,88,Shi,Xiaoxuan,CHN,"1.18,05",2016-10-14,Urumqi (CHN),China Cup 1,f,2016,1000
1195,89,Yamada,Rio,JPN,"1.18,07",2016-12-29,Nagano (JPN),Japan - Sprint Championships 2017,f,2016,1000
1196,89,van Beek,Lotte,NED,"1.18,07",2017-01-22,Heerenveen (NED),Netherlands - Sprint Championships 2017,f,2016,1000
1197,91,Stollenga,Esmé,NED,"1.18,10",2016-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2017,f,2016,1000
1198,92,Toi,Saori,JPN,"1.18,11",2016-10-23,Nagano (JPN),Japan - Single Distances Championships 2017,f,2016,1000
1199,93,van den Brandt,Floor,NED,"1.18,12",2017-01-21,Heerenveen (NED),Netherlands - Sprint Championships 2017,f,2016,1000
1200,94,de Vries,Linda,NED,"1.18,17",2016-10-22,Leeuwarden (NED),Trainingswestrijd KNSB- en Topteams,f,2016,1000
1201,95,van Tol,Manouk,NED,"1.18,21",2017-02-20,Heerenveen (NED),Gewestelijke Wedstrijd voor A-Jun. en Ouder,f,2016,1000
1202,96,Bjertnes,Ellen,NOR,"1.18,24",2016-12-11,Heerenveen (NED),ISU World Cup,f,2016,1000
1203,97,Bartlett,Erin,USA,"1.18,25",2016-11-27,Calgary (CAN),CanAm International,f,2016,1000
1204,98,Jeppsson,Rikke,NOR,"1.18,31",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1205,99,Chen,Xiangyu,CHN,"1.18,33",2017-03-18,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1000
1206,100,Wu,Shuangshuang,CHN,"1.18,37",2016-10-14,Urumqi (CHN),China Cup 1,f,2016,1000
1207,100,Wijfje,Melissa,NED,"1.18,37",2016-12-21,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2016,1000
1208,1,Bergsma,Heather,USA,"1.54,08",2017-02-12,Gangneung (KOR),World Single Distances Championships 2017,f,2016,1500
1209,2,Wüst,Ireen,NED,"1.54,19",2017-02-12,Gangneung (KOR),World Single Distances Championships 2017,f,2016,1500
1210,3,Takagi,Miho,JPN,"1.55,12",2017-02-12,Gangneung (KOR),World Single Distances Championships 2017,f,2016,1500
1211,4,Leenstra,Marrit,NED,"1.55,62",2017-03-04,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2016,1500
1212,5,Blondin,Ivanie,CAN,"1.55,86",2017-01-06,Calgary (CAN),Canada - Single Distances Championships 2017,f,2016,1500
1213,6,Sáblíková,Martina,CZE,"1.56,15",2017-03-05,Hamar (NOR),World Allround Championships 2017,f,2016,1500
1214,7,ter Mors,Jorien,NED,"1.56,18",2017-02-12,Gangneung (KOR),World Single Distances Championships 2017,f,2016,1500
1215,8,Manganello,Mia,USA,"1.56,43",2017-01-07,Salt Lake City (USA),USA - Long Track Championships 2017,f,2016,1500
1216,8,Graf,Olga,RUS,"1.56,43",2017-03-05,Hamar (NOR),World Allround Championships 2017,f,2016,1500
1217,10,Rijpma-de Jong,Antoinette,NED,"1.56,77",2017-03-05,Hamar (NOR),World Allround Championships 2017,f,2016,1500
1218,11,Han,Mei,CHN,"1.56,99",2016-10-15,Urumqi (CHN),China Cup 1,f,2016,1500
1219,11,Oshigiri,Misaki,JPN,"1.56,99",2016-10-21,Nagano (JPN),Japan - Single Distances Championships 2017,f,2016,1500
1220,13,Weidemann,Isabelle,CAN,"1.57,10",2016-10-23,Calgary (CAN),2016 Oval International / World Cup Selections,f,2016,1500
1221,14,Shikhova,Yekaterina,RUS,"1.57,12",2017-01-28,Berlin (GER),ISU World Cup,f,2016,1500
1222,15,Morrison,Keri,CAN,"1.57,13",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1223,16,Joling,Marije,NED,"1.57,14",2017-03-05,Hamar (NOR),World Allround Championships 2017,f,2016,1500
1224,17,Czerwonka,Natalia,POL,"1.57,21",2017-03-05,Hamar (NOR),World Allround Championships 2017,f,2016,1500
1225,18,Tian,Ruining,CHN,"1.57,25",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1226,19,Tutt,Brianne,CAN,"1.57,35",2016-10-23,Calgary (CAN),2016 Oval International / World Cup Selections,f,2016,1500
1227,20,Wijfje,Melissa,NED,"1.57,36",2016-12-10,Heerenveen (NED),ISU World Cup,f,2016,1500
1228,20,Schwartzburg,Paige,USA,"1.57,36",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1229,22,Bachleda-Curuś,Katarzyna,POL,"1.57,51",2017-02-12,Gangneung (KOR),World Single Distances Championships 2017,f,2016,1500
1230,23,Zhang,Hong,CHN,"1.57,52",2016-10-23,Urumqi (CHN),China - National Championships 2017 ,f,2016,1500
1231,24,Li,Qishi,CHN,"1.57,59",2016-09-23,Calgary (CAN),2016 Fall Classic,f,2016,1500
1232,25,Njåtun,Ida,NOR,"1.57,61",2017-03-12,Stavanger (NOR),ISU World Cup,f,2016,1500
1233,26,Lobysheva,Ekaterina,RUS,"1.57,63",2016-12-10,Heerenveen (NED),ISU World Cup,f,2016,1500
1234,27,Sun,Nan,CHN,"1.57,75",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1235,28,Todd,Sugar,USA,"1.57,81",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1236,29,Zhao,Xin,CHN,"1.57,87",2016-09-23,Calgary (CAN),2016 Fall Classic,f,2016,1500
1237,30,Kim,Bo-Reum,KOR,"1.57,96",2016-08-21,Salt Lake City (USA),Desert Classic 2016,f,2016,1500
1238,31,Pechstein,Claudia,GER,"1.58,02",2016-12-29,Inzell (GER),Überprüfungswettkampf,f,2016,1500
1239,32,van Hemert,Roxanne,NED,"1.58,03",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1240,33,Dufter,Roxane,GER,"1.58,08",2017-03-12,Stavanger (NOR),ISU World Cup,f,2016,1500
1241,34,Takagi,Nana,JPN,"1.58,13",2017-03-05,Hamar (NOR),World Allround Championships 2017,f,2016,1500
1242,34,Lamarche,Béatrice,CAN,"1.58,13",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1243,36,Nauta,Yvonne,NED,"1.58,20",2017-01-21,Heerenveen (NED),Netherlands - Allround Championships 2017,f,2016,1500
1244,37,Hirschbichler,Gabriele,GER,"1.58,22",2016-12-04,Astana (KAZ),ISU World Cup,f,2016,1500
1245,38,Christ,Kali,CAN,"1.58,24",2016-10-23,Calgary (CAN),2016 Oval International / World Cup Selections,f,2016,1500
1246,39,Sato,Ayano,JPN,"1.58,25",2017-03-05,Hamar (NOR),World Allround Championships 2017,f,2016,1500
1247,40,Liu,Jing,CHN,"1.58,27",2016-10-23,Urumqi (CHN),China - National Championships 2017 ,f,2016,1500
1248,41,Zhan,Xue,CHN,"1.58,30",2016-10-15,Urumqi (CHN),China Cup 1,f,2016,1500
1249,42,Voronina,Natalia,RUS,"1.58,35",2016-11-20,Nagano (JPN),ISU World Cup,f,2016,1500
1250,43,de Vries,Linda,NED,"1.58,41",2016-12-04,Astana (KAZ),ISU World Cup,f,2016,1500
1251,44,Lalenkova,Evgeniia,RUS,"1.58,56",2017-03-03,Moscow,Russia Cup Final,f,2016,1500
1252,45,van der Weijden,Annouk,NED,"1.58,62",2017-01-21,Heerenveen (NED),Netherlands - Allround Championships 2017,f,2016,1500
1253,46,Morrison,Josie,CAN,"1.58,65",2016-10-23,Calgary (CAN),2016 Oval International / World Cup Selections,f,2016,1500
1254,47,Woźniak,Katarzyna,POL,"1.58,66",2016-10-22,Inzell (GER),International Race,f,2016,1500
1255,48,Złotkowska,Luiza,POL,"1.58,70",2017-02-12,Gangneung (KOR),World Single Distances Championships 2017,f,2016,1500
1256,49,Pearman,Maddison,CAN,"1.58,73",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1257,50,Voorhuis,Jorien,NED,"1.58,74",2017-01-21,Heerenveen (NED),Netherlands - Allround Championships 2017,f,2016,1500
1258,51,de Neeling,Sanneke,NED,"1.58,87",2016-12-28,Heerenveen (NED),Netherlands - Single Distances Championships 2017,f,2016,1500
1259,52,Chernova,Anna,RUS,"1.58,88",2016-12-27,Kolomna,Russia - Single Distances Championships 2017,f,2016,1500
1260,53,Takahashi,Nana,JPN,"1.58,89",2017-03-19,Calgary (CAN),2017 Olympic Oval Finale / Canada Cup 4,f,2016,1500
1261,54,Skokova,Yuliya,RUS,"1.58,93",2017-03-03,Moscow,Russia Cup Final,f,2016,1500
1262,55,Kodaira,Nao,JPN,"1.58,95",2016-11-20,Nagano (JPN),ISU World Cup,f,2016,1500
