0,1
2096,February 1986 (M35)
75826,April 1997 (LSA)
75832,March 2004 (LN2)
10299,December 1991 (M30)
2111,June 1988 (M35)
34887,March 1997 (LSA)
2126,August 1987 (L35)
34898,March 1993 (M30)
2131,February 1988 (L35)
18515,August 1995 (MSA)
18514,October 1993 (M30)
34903,December 1994 (M30)
51290,January 1987 (L35)
34914,December 1986 (M35)
51302,October 2003 (MN2)
10343,March 1992 (M30)
18541,December 1994 (L30)
51311,May 1998 (LSA)
75922,November 2000 (LSA)
26770,Male
18592,September 1994 (M30)
18593,February 1995 (M30)
2223,August 1986 (M35)
18609,August 1994 (M30)
34994,April 1988 (L35)
34997,June 1999 (LSA)
18618,April 1988 (L35)
18619,November 1994 (L30)
18632,December 1992 (L30)
51400,February 2004 (LN2)
10443,October 1992 (M30)
51423,February 2004 (LN2)
59615,December 1996 (LSA)
18662,August 1994 (L30)
35048,October 2002 (MN3)
18674,September 1997 (MSA)
18679,August 1994 (M30)
51458,November 2004 (LN1)
26891,November 2000 (LSA)
51469,December 2003 (LN2)
35098,June 2001 (MSA)
43293,Female
43306,August 2001 (LN4)
26923,May 1997 (MSA)
43308,July 2002 (LN3)
43312,April 2002 (LN4)
26933,September 1998 (MSA)
43320,Female
43325,July 2003 (LN2)
76103,December 1998 (LSA)
76104,January 1998 (LSA)
43338,August 2002 (MN3)
43342,October 2002 (MN3)
35166,June 1993 (M30)
2404,February 1991 (M30)
18791,September 1997 (MSA)
35175,June 1999 (MSA)
2415,October 1989 (L35)
18803,December 1995 (LSA)
2421,February 1992 (L30)
43398,May 2002 (LN4)
2446,August 1988 (M35)
2452,May 1987 (M35)
2464,March 1988 (L35)
35234,December 1997 (MSA)
35235,October 1997 (MSA)
35240,December 1997 (MSA)
35246,January 1995 (M30)
35247,September 1996 (MSA)
35249,April 1995 (M30)
35260,September 1997 (MSA)
2495,January 1983 (M40)
51667,August 1998 (MSA)
51681,November 2000 (MSA)
43500,March 1992 (M30)
18931,January 1996 (LSA)
27124,August 1997 (LSA)
10740,June 1981 (M40)
10742,March 1964 (M60)
43512,January 1995 (M30)
35320,January 2003 (MN3)
27133,December 1998 (MSA)
2562,February 1992 (L30)
18959,July 1995 (LSA)
35343,December 1998 (LSA)
43536,May 2002 (MN4)
35352,September 2000 (LSA)
27160,Male
27162,January 1998 (MSA)
27163,June 2001 (LSA)
43546,November 1999 (MSA)
43555,October 1999 (LSA)
2599,September 1987 (M35)
2601,April 1990 (M35)
35395,November 2000 (MSA)
43590,September 2005 (MA2)
51793,August 2006 (LA1)
43611,June 2000 (MSA)
51805,February 2007 (LA1)
2683,April 1986 (L35)
2688,July 1986 (M35)
43655,June 2002 (LN4)
2698,February 1985 (M40)
10893,April 1993 (M30)
10900,November 1992 (M30)
51876,January 2003 (LN3)
51877,Female
2735,November 1994 (L30)
19128,November 1989 (M35)
19130,May 1995 (L30)
2746,August 1990 (M30)
19136,April 1995 (M30)
35521,May 2001 (LSA)
35524,October 2000 (MSA)
19149,August 1995 (MSA)
51920,January 2004 (LN2)
35538,November 1999 (MSA)
19161,September 1995 (LSA)
51944,January 2005 (MN1)
10995,June 1997 (MSA)
2805,December 1984 (L40)
