ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
53951,9688,68,Telizyn,Joshua,CAN,"1.09,16",2023-10-06,Calgary (CAN),Canada - Long Track Championships 2024,m,2023,1000
71835,9689,69,Doan,Jalen,CAN,"1.09,18",2024-03-10,Calgary (CAN),Olympic Oval Grand Prix - Canada Cup Final,m,2023,1000
46291,9690,70,Siemons,Mats,NED,"1.09,20",2023-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2024,m,2023,1000
24222,9691,71,Yoro,Serge,NED,"1.09,21",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2023,1000
6551,9692,71,Esders,Gijs,NED,"1.09,21",2023-12-22,Heerenveen (NED),Trainingwedstrijd Topteams/Deelnemers NKA,m,2023,1000
51236,9693,73,Kleba,Austin,USA,"1.09,23",2024-01-21,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1000
75790,9694,74,Lian,Ziwen,CHN,"1.09,25",2024-01-11,Hailar (CHN),14th Winter Games of the People's Republic of China,m,2023,1000
23504,9695,75,Park,Seong-Hyeon,KOR,"1.09,28",2023-09-22,Calgary (CAN),2023 Fall Classic,m,2023,1000
21336,9696,76,Murashov,Ruslan,RUS,"1.09,42",2023-10-07,Kolomna,Kolomna Kremlin Cup,m,2023,1000
36048,9697,77,Kubo,Koki,JPN,"1.09,45",2023-10-22,Nagano (JPN),Japan - Single Distances Championships 2024,m,2023,1000
48813,9698,78,Doyon,Marc-André,CAN,"1.09,49",2023-09-22,Calgary (CAN),2023 Fall Classic,m,2023,1000
70924,9699,79,Sherr,Mikhail,RUS,"1.09,50",2023-11-09,Kolomna,Kolomna City District Prize - RSU Cup 1,m,2023,1000
15866,9700,80,Kim,Jun-Ho,KOR,"1.09,54",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
40030,9701,81,Broos,Armand,NED,"1.09,57",2023-12-30,Heerenveen (NED),Netherlands - Single Distances Championships 2024,m,2023,1000
44305,9702,81,Zhardembekuly,Altaj,KAZ,"1.09,57",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
61299,9703,83,Sonnekalb,Finn,GER,"1.09,58",2024-03-09,Heerenveen (NED),Vikingrace 2024,m,2023,1000
43546,9704,84,Halyk,Max,CAN,"1.09,61",2023-12-01,Calgary (CAN),2023 CanAm International,m,2023,1000
48222,9705,84,Westenbroek,Stefan,NED,"1.09,61",2024-02-24,Heerenveen (NED),Netherlands - Sprint Championships 2024,m,2023,1000
58000,9706,86,Mayeur,Hayden,CAN,"1.09,70",2023-12-30,Calgary (CAN),Time Trials,m,2023,1000
85451,9707,86,Gibson,Ryan,CAN,"1.09,70",2024-03-10,Calgary (CAN),Olympic Oval Grand Prix - Canada Cup Final,m,2023,1000
47187,9708,88,Tobon,Jonathan,USA,"1.09,71",2023-10-21,Milwaukee (USA),International Time Trial,m,2023,1000
24515,9709,89,Suomalainen,Samuli,FIN,"1.09,74",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
60599,9710,90,Binazarov,Roman,KAZ,"1.09,75",2024-01-21,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1000
