ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
,,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
5170.0,70.0,71,Li,Dan,CHN,"39,49",2014-10-18,Changchun (CHN),China Cup 2,f,2014,500
61175.0,70.0,71,Li,Dan,CHN,"39,49",2014-10-18,Changchun (CHN),China Cup 2,f,2014,500
5796.0,71.0,71,van Beek,Lotte,NED,"39,49",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
4564.0,72.0,73,Li,Xue,CHN,"39,50",2014-09-26,Calgary (CAN),Fall Classic,f,2014,500
23846.0,73.0,73,Kachanova,Daria,RUS,"39,50",2015-01-10,Kolomna,Russia Cup 4,f,2014,500
5547.0,74.0,75,Klijnstra,Moniek,NED,"39,53",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
220.0,75.0,76,Bradford,Rebekah,USA,"39,54",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,500
1404.0,76.0,77,Franzen,Katja,GER,"39,56",2015-02-28,Inzell (GER),International German Open 2015,f,2014,500
9576.0,77.0,78,Karannikova,Tatyana,RUS,"39,57",2015-02-21,Moscow,Russia - Sprint Championships 2015,f,2014,500
7837.0,78.0,79,van Rijn,Emma,NED,"39,60",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
4579.0,79.0,80,An,Shanna,CHN,"39,61",2014-12-21,Changchun (CHN),China - Sprint Championships 2015,f,2014,500
30407.0,80.0,80,Beuling,Femke,NED,"39,61",2015-01-30,Heerenveen (NED),Vikingrace 2015,f,2014,500
4625.0,81.0,80,Bøkko,Hege,NOR,"39,61",2015-03-13,Stavanger (NOR),Norway - Single Distances Championships 2015,f,2014,500
9071.0,82.0,83,Liu,Jing,CHN,"39,62",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
18619.0,83.0,84,Sha,Yuning,CHN,"39,63",2014-12-20,Changchun (CHN),China - Sprint Championships 2015,f,2014,500
15852.0,84.0,85,Soga,Konami,JPN,"39,64",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
